WKT_GEOM;ID_R_IMP_T;COMPETENZA;DENOMINAZI;POLIVALENT;SOCIETA_SP;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;URL;DISCIPLINA;COORD_X;COORD_Y
POINT (1392393.719 4995072.672);470;competenza della Circoscrizione;Cral GTT;NO;;VIA DEI GLADIOLI 33/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=141;EDIFICI DI PERTINENZA;1392393,719;4995072,672
POINT (1392306.868 4995086.183);149;competenza della Circoscrizione;Orione Vallette;NO;;VIA DEI GLADIOLI 39/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=299;CALCIO;1392306,868;4995086,183
POINT (1392306.868 4995086.183);471;competenza della Circoscrizione;Orione Vallette;NO;;VIA DEI GLADIOLI 39/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=299;EDIFICI DI PERTINENZA;1392306,868;4995086,183
POINT (1396108.734 4995520.782);281;competenza della Circoscrizione;Victoria Ivest;NO;;VIA PAOLO DELLA CELLA 11;TORINO;10148;5;;CALCIO;1396108,734;4995520,782
POINT (1396108.734 4995520.782);472;competenza della Circoscrizione;Victoria Ivest;NO;;VIA PAOLO DELLA CELLA 11;TORINO;10148;5;;EDIFICI DI PERTINENZA;1396108,734;4995520,782
POINT (1395827.262 4995243.108);254;competenza della Circoscrizione;Sospello - Piscina ;NO;;VIA SOSPELLO 118;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=111;PISCINA COPERTA;1395827,262;4995243,108
POINT (1395827.262 4995243.108);255;competenza della Circoscrizione;Sospello - Palestra;NO;;VIA SOSPELLO 118;TORINO;10147;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=111;PALESTRA;1395827,262;4995243,108
POINT (1395353.115 4994647.412);158;competenza della Circoscrizione;Palestra Ozanam;NO;;VIA FOLIGNO 14/A;TORINO;10149;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=80;PALESTRA;1395353,115;4994647,412
POINT (1397140.255 4995725.147);227;competenza della Circoscrizione;Palestra E14;NO;;VIA GUGLIELMO REISS ROMOLI 47;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=78;PALESTRA;1397140,255;4995725,147
POINT (1392956.219 4994853.788);209;competenza della Circoscrizione;Palestra E15 c/o succursale PLANA;NO;;VIA PARENZO 46;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=87;PALESTRA;1392956,219;4994853,788
POINT (1393679.304 4994653.45);22;competenza della Circoscrizione;Palestra Gadda;NO;;VIA VAL DELLA TORRE 138/A;TORINO;10149;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=79;PALESTRA;1393679,304;4994653,45
POINT (1393606.43333333 4995419.50208333);85;competenza della Circoscrizione;Cupola De Panis;NO;;STRADA DI ALTESSANO 52 int. 3;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=82;PALESTRA;1393606,43333333;4995419,50208333
POINT (1393853.558 4995240.92);174;competenza della Circoscrizione;Palestra ex Scotellaro;NO;;VIA BERNARDINO LUINI 195;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=296;PALESTRA;1393853,558;4995240,92
POINT (1394005.774 4986552.865);699;;Piastra libera per pattinaggio a rotelle;NO;;VIA PASSO BUOLE 60 bis;TORINO;10127;8;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=232;ROLLER;1394005,774;4986552,865
