Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Convivenza Civile;Altro;6;SOFIA/(PIAZZA)                                                        ;;28/04/2015;
Convivenza Civile;Altro;7;TERAMO/(VIA)                                                          ;;29/04/2015;09.36
Convivenza Civile;Altro;3;RACCONIGI/(CORSO)                                                     ;;30/04/2015;
Convivenza Civile;Altro;4;FRANCIA/(CORSO)                                                       ;;04/05/2015;
Convivenza Civile;Altro;5;CIAMARELLA/(VIA)                                                      ;;04/05/2015;
Convivenza Civile;Altro;7;AOSTA/(VIA)                                                           ;;04/05/2015;
Convivenza Civile;Altro;6;CIMAROSA/DOMENICO (VIA)                                               ;;07/05/2015;
Convivenza Civile;Altro;8;GALLIARI/BERNARDINO (VIA)                                             ;;07/05/2015;
Convivenza Civile;Altro;8;S. MARGHERITA/(STRADA)                                                ;;08/05/2015;
Convivenza Civile;Altro;1;RE UMBERTO/(CORSO)                                                    ;;11/05/2015;
Convivenza Civile;Altro;10;PORTOFINO/(VIA)                                                       ;;11/05/2015;
Convivenza Civile;Altro;6;CEBROSA/(STRADA DELLA)                                                ;;14/05/2015;
Convivenza Civile;Altro;1;LAGRANGE/GIUSEPPE LUIGI (VIA)                                         ;;15/05/2015;
Convivenza Civile;Altro;6;CASCINOTTO/(STRADA DEL)                                               ;;15/05/2015;
Convivenza Civile;Altro;6;FORONI/JACOPO (VIA)                                                   ;;15/05/2015;
Convivenza Civile;Altro;8;THOVEZ/ENRICO (VIALE)                                                 ;;16/05/2015;
Convivenza Civile;Altro;1;MICCA/PIETRO (VIA)                                                    ;;18/05/2015;
Convivenza Civile;Altro;2;SALICETO/(VIA)                                                        ;;18/05/2015;
Convivenza Civile;Altro;3;S. MARIA MAZZARELLO/(VIA)                                             ;;19/05/2015;
Convivenza Civile;Altro;4;CARRERA/VALENTINO (VIA)                                               ;;19/05/2015;14.56
Convivenza Civile;Altro;5;ROCCAVIONE CONTE DI/(VIA)                                             ;;21/05/2015;
Convivenza Civile;Altro;8;SEI VILLE/(STRADA ALLE)                                               ;;21/05/2015;
Convivenza Civile;Altro;1;STATI UNITI/(CORSO)                                                   ;;22/05/2015;
Convivenza Civile;Altro;6;TOCE/(VIA)                                                            ;;22/05/2015;
Convivenza Civile;Altro;6;CRUTO/ALESSANDRO (VIA)                                                ;;23/05/2015;
Convivenza Civile;Altro;4;LIVORNO/(VIA)                                                         ;;25/05/2015;
Convivenza Civile;Altro;6;MONTANARO/(VIA)                                                       ;;25/05/2015;
Convivenza Civile;Altro;8;ORMEA/(VIA)                                                           ;;25/05/2015;12.15
Convivenza Civile;Altro;1;VINZAGLIO/(CORSO)                                                     ;;26/05/2015;
Convivenza Civile;Altro;9;SEBASTOPOLI/(CORSO)                                                   ;;26/05/2015;
Convivenza Civile;Altro;7;GIULIO CESARE/(CORSO)                                                 ;;27/05/2015;
Convivenza Civile;Altro;3;COLLEGNO/GIACINTO (VIA)                                               ;;28/05/2015;09.04
Convivenza Civile;Altro;8;TIZIANO VECELLIO/(VIA)                                                ;;31/05/2015;
Convivenza Civile;Altro;1;LAGRANGE/GIUSEPPE LUIGI (VIA)                                         ;;01/06/2015;
Convivenza Civile;Altro;1;PRINCIPE EUGENIO/(CORSO)                                              ;;03/06/2015;
Convivenza Civile;Altro;3;FRANCIA/(CORSO)                                                       ;;03/06/2015;
Convivenza Civile;Altro;5;LUINI/BERNARDINO (VIA)                                                ;;03/06/2015;
Convivenza Civile;Altro;7;GERDIL/SIGISMONDO (VIA)                                               ;;03/06/2015;
Convivenza Civile;Altro;10;TONALE/(VIA)                                                          ;;03/06/2015;
Convivenza Civile;Altro;1;TASSO/TORQUATO (VIA)                                                  ;;03/06/2015;11.01
Convivenza Civile;Altro;1;CASTELLO/(PIAZZA)                                                     ;;03/06/2015;10.35
Convivenza Civile;Altro;;;;04/06/2015;
Convivenza Civile;Altro;1;PALESTRO/(CORSO)                                                      ;;04/06/2015;
Convivenza Civile;Altro;3;PALMIERI/PIETRO (VIA)                                                 ;;04/06/2015;
Convivenza Civile;Altro;6;AVONDO/VITTORIO (VIA)                                                 ;;04/06/2015;11.00
