WKT_GEOM;ID_STALLO;ELEM_RIL;NUM_STALLI;ORDINANZA;NOTE;VIA;NUM_CIVICO;DATA_RIL;COORD_X;COORD_Y
POINT (1396788.04036253 4991348.7705767);1287;Stalli disabili;2;;ND;VIA S_ FRANCESCO DA PAOLA;3;20150318000000;;
POINT (1396908.96342148 4991390.05713481);1290;Stalli disabili;2;2008_00198;ND;VIA PO;27;20150311000000;;
POINT (1396991.44497919 4991452.0904651);1295;Stalli disabili;2;2008_02151;ND;VIA VERDI GIUSEPPE;23;20150316000000;;
POINT (1397188.0667823 4989983.40999126);1310;Stalli disabili;2;2000_02706;ND;LARGO MENTANA;1;20150331000000;;
POINT (1397270.2712325 4991307.40236716);1319;Stalli disabili;2;2001_03939;ND;VIA VERDI GIUSEPPE;ND;20150316000000;;
POINT (1397563.62187223 4990688.66987059);1330;Stalli disabili;2;2016_80649;ND;VIA BONSIGNORE FERDINANDO;2;20160526000000;;
POINT (1397652.6843592 4990647.60522229);1334;Stalli disabili;2;2008_01728;ND;VIA LANFRANCHI FRANCESCO;2;20150330000000;;
POINT (1397738.33887354 4990664.77209247);1342;Stalli disabili;2;2000_02340;ND;VIA VILLA DELLA REGINA;3;20150331000000;;
POINT (1398430.24271319 4990932.83357418);1376;Stalli disabili;2;2008_05182;ND;VIA FIGLIE DEI MILITARI;25;20150331000000;;
POINT (1395894.09768799 4992459.71872678);1384;Stalli disabili;2;ND;Nessuna;VIA GIULIO CARLO IGNAZIO;22;20150310000000;;
POINT (1395927.08991006 4992185.64183001);1388;Stalli disabili;2;ND;Nessuna;PIAZZA SAVOIA;7_F;20150309000000;;
POINT (1395760.25931094 4992055.45258708);1391;Stalli disabili;2;ND;Nessuna;PIAZZA ARBARELLO VINCENZO;8;20150310000000;;
POINT (1395628.66696727 4992129.98750031);1398;Stalli disabili;2;ND;Nessuna;VIA DELLA CITTADELLA;5;20150310000000;;
POINT (1395129.19876282 4991824.845215);1402;Stalli disabili;2;2000_01911;Nessuna;CORSO BOLZANO;nd;20150310000000;;
POINT (1395140.69394175 4991846.92604699);1403;Stalli disabili;2;2000_01911;Nessuna;CORSO BOLZANO;44;20150310000000;;
POINT (1395199.76199116 4991855.10793742);1404;Stalli disabili;2;2003_00547;Nessuna;VIA GUICCIARDINI FRANCESCO GIUSEPPE;24;20150310000000;;
POINT (1395651.00206532 4992539.63859125);1408;Stalli disabili;2;ND;Nessuna;CORSO PRINCIPE EUGENIO;11;20150310000000;;
POINT (1395424.02046964 4992253.08751635);1412;Stalli disabili;2;ND;Nessuna;PIAZZA STATUTO;9;20150310000000;;
POINT (1395800.09610319 4992653.14592507);1422;Stalli disabili;2;ND;Nessuna;CORSO REGINA MARGHERITA;176;20150311000000;;
POINT (1396439.52726262 4992183.45670401);1436;Stalli disabili;2;ND;Nessuna;VIA EGIDI PIETRO;7;20150311000000;;
POINT (1396670.15648565 4991645.26841753);1439;Stalli disabili;2;1999_03384;Nessuna;PIAZZA CASTELLO;ND;20150311000000;;
POINT (1396989.47331699 4991915.36290462);1442;Stalli disabili;2;ND;Nessuna;CORSO S_ MAURIZIO;4;20150312000000;;
POINT (1396744.48799037 4991737.93820684);1447;Stalli disabili;2;2015_80265-2015_80273;Nessuna;VIALE DEI PARTIGIANI;nd;20150520000000;;
POINT (1397163.77619255 4991497.96148181);1451;Stalli disabili;2;ND;Nessuna;VIA FERRARI GAUDENZIO;10;20150313000000;;
POINT (1397160.90872796 4991508.4591089);1452;Stalli disabili;2;ND;Nessuna;VIA FERRARI GAUDENZIO;5;20150313000000;;
POINT (1395386.11325283 4992616.79684341);1465;Stalli disabili;2;ND;Nessuna;CORSO PRINCIPE ODDONE;16;20150317000000;;
POINT (1396137.05077186 4990896.27715966);1475;Stalli disabili;2;ND;Nessuna;PIAZZA LAGRANGE GIUSEPPE LUIGI;1;20150318000000;;
POINT (1395759.26233821 4991462.26943135);1484;Stalli disabili;2;ND;Nessuna;VIA BERTOLOTTI DAVIDE;ND;20150318000000;;
POINT (1398194.03116667 4991491.92347583);1495;Stalli disabili;2;ND;Nessuna;CORSO REGINA MARGHERITA;8;20150320000000;;
POINT (1398130.58927591 4991522.37913143);1496;Stalli disabili;2;ND;Nessuna;CORSO REGINA MARGHERITA;10;20150320000000;;
POINT (1397616.79298459 4991608.54490592);1505;Stalli disabili;2;ND;Nessuna;VIA BUNIVA MICHELE;19;20150320000000;;
POINT (1396808.42661968 4991109.86893141);1524;Stalli disabili;2;ND;Nessuna;santa croce;6;20150324000000;;
POINT (1397023.77358822 4990858.70902281);1533;Stalli disabili;2;ND;Nessuna;PIAZZA MARIA TERESA;ND;20150324000000;;
POINT (1397054.05400064 4990771.90698201);1534;Stalli disabili;2;ND;Nessuna;PIAZZA MARIA TERESA;ND;20150324000000;;
POINT (1395798.57034949 4991542.96121033);1545;Stalli disabili;2;ND;Nessuna;VIA MEUCCI ANTONIO;ND;20150326000000;;
POINT (1395909.54993679 4991585.13233381);1546;Stalli disabili;2;ND;Nessuna;PIAZZA SOLFERINO;4;20150326000000;;
POINT (1397973.96704758 4991466.42783399);1566;Stalli disabili;2;ND;Nessuna;VIA CAVEZZALE PIETRO;6;20150327000000;;
POINT (1395160.60212853 4991378.30903015);1575;Stalli disabili;2;ND;Nessuna;VIA S_ QUINTINO;44;20150327000000;;
POINT (1396989.93482849 4990501.99330902);1595;Stalli disabili;2;ND;Nessuna;VIA MAZZINI GIUSEPPE;49;20150327000000;;
POINT (1396783.30779096 4990844.89871801);1612;Stalli disabili;2;ND;Nessuna;VIA S_ MASSIMO;ND;20150331000000;;
POINT (1396626.23403067 4990359.50757276);1623;Stalli disabili;2;ND;Nessuna;VIA S_ PIO V;33;20150331000000;;
POINT (1396038.29310091 4989649.45178346);1653;Stalli disabili;2;ND;ND;VIA BIDONE GIORGIO;25;20150407000000;;
POINT (1394882.73110009 4994953.33472618);1662;Stalli disabili;2;ND;Nessuna;PIAZZA VILLARI PASQUALE;8;20150409000000;;
POINT (1396483.73092248 4992433.83188824);1663;Stalli disabili;2;ND;Nessuna;PIAZZA DELLA REPUBBLICA;18;20150409000000;;
POINT (1396905.195113 4992394.01454556);1676;Stalli disabili;2;ND;Nessuna;LUNGO DORA SAVONA;28;20150409000000;;
